100,1.17,0.97
111,1.18,0.90
123,1.21,0.92
136,1.17,1.06
150,1.18,0.91
165,1.20,0.96
182,1.17,0.94
201,1.20,0.97
222,1.17,1.26
245,1.13,0.96
270,1.18,0.95
297,1.18,0.97
327,1.13,0.95
360,1.19,0.97
397,1.09,0.96
437,1.24,0.92
481,1.26,1.01
530,1.19,1.01
583,1.21,0.98
642,1.20,1.02
707,1.20,0.95
778,1.19,0.96
856,1.19,0.96
942,1.19,0.98
1037,1.32,0.96
1141,1.21,0.97
1256,1.18,0.94
1382,1.24,0.97
1521,1.19,0.96
1674,1.23,0.87
1842,1.17,1.01
2027,1.08,0.88
2230,1.13,0.96
2453,1.12,0.95
2699,1.19,0.84
2969,1.14,0.95
3266,1.19,0.98
3593,1.20,0.96
3953,1.18,0.95
4349,1.23,1.02
4784,1.19,0.95
5263,1.18,0.97
5790,1.21,0.91
6370,1.20,0.97
7008,1.19,1.07
7709,1.19,1.17
8480,1.20,0.98
9328,1.19,0.97
10261,1.20,0.91
11288,1.18,0.95
12417,1.11,0.97
13659,1.21,0.96
15025,1.17,0.95
16528,1.19,0.96
18181,1.18,1.06
20000,1.05,0.97
22000,1.19,0.95
24201,1.20,0.98
26622,1.19,0.96
29285,1.18,0.98
32214,1.33,0.98
35436,1.37,1.04
38980,1.50,0.92
42878,1.59,1.03
47166,1.71,0.98
51883,1.94,1.02
57072,1.92,0.97
62780,2.02,0.98
69058,2.10,0.97
75964,2.16,0.98
83561,2.36,0.97
91918,2.28,1.14
101110,2.37,0.99
111222,2.58,0.97
122345,2.68,0.99
134580,3.27,0.97
148038,3.48,1.03
162842,3.80,0.97
179127,3.75,1.11
197040,3.71,0.98
216745,3.89,0.99
238420,3.98,1.00
262262,4.23,1.00
288489,4.67,1.00
317338,5.24,1.07
349072,5.76,1.01
383980,6.13,1.00
422379,6.51,1.00
464617,6.94,1.01
511079,7.55,1.00
562187,7.90,1.00
618406,8.26,1.01
680247,8.68,1.01
748272,9.08,0.99
823100,9.30,1.01
905411,9.56,1.00
995953,9.83,1.01
1095549,10.05,0.94
1205104,10.26,1.01
1325615,10.45,1.03
1458177,10.62,1.00
1603995,10.78,0.93
1764395,10.93,1.01
1940835,11.10,1.01
2134919,11.20,1.01
2348411,11.28,0.98
2583253,11.39,1.01
2841579,11.48,1.01
3125737,11.56,1.01
3438311,11.68,0.93
3782143,10.48,1.01
4160358,10.74,1.03
4576394,11.11,1.02
5034034,11.56,0.95
5537438,12.19,1.01
6091182,11.09,1.02
6700301,11.81,1.03
7370332,13.03,0.98
8107366,15.25,1.03
8918103,18.15,1.05
9809914,21.34,1.06
10790906,23.40,1.06
11869997,26.81,1.11
13056997,27.64,1.10
14362697,33.38,1.11
15798967,36.58,1.09
17378864,39.17,1.21
19116751,41.48,1.09
21028427,43.62,1.09
23131270,45.77,1.09
25444398,47.61,1.10
27988838,49.55,1.11
30787722,51.07,1.11
33866495,52.22,1.07
37253145,53.34,1.11
40978460,54.59,1.11
45076306,55.57,1.12
49583937,56.63,1.11
54542331,57.62,1.12
59996565,58.26,1.11
65996222,59.07,1.11
72595845,59.64,1.12
79855430,60.69,1.11
87840973,61.34,1.11
96625071,61.25,1.12
106287579,61.21,1.12
116916337,61.79,1.12
128607971,62.20,1.12
141468769,62.64,1.12
155615646,63.02,1.12
171177211,63.47,1.12
188294933,63.76,1.17
207124427,64.06,1.12
227836870,64.38,1.11
250620558,64.53,1.12
275682614,64.79,1.14
303250876,64.98,1.12
333575964,65.20,1.12
366933561,65.29,1.12
403626918,65.49,1.11
443989610,65.56,1.12
488388572,65.77,1.12
537227430,65.95,1.17
590950173,65.90,1.12
650045191,66.15,1.12
715049711,66.08,1.12
786554683,66.28,1.12
865210152,66.27,1.16
951731168,66.30,1.12
1046904285,66.42,1.06
1151594714,66.82,1.12
1266754186,66.51,1.12
1393429605,66.55,1.12
1532772566,66.58,1.11
1686049823,66.61,1.12
1854654806,66.64,1.15
2040120287,66.66,1.12
2244132316,66.67,1.10
2468545548,66.71,1.14
2715400103,66.75,1.13
2986940114,66.81,1.11
3285634126,67.03,1.12
3614197539,67.52,1.12
3975617293,67.89,1.12
4373179023,68.17,1.13
4810496926,68.52,1.12
5291546619,68.78,1.12
5820701281,69.11,1.12
